Currency_Name,Currency_Code,Currency_Notes_Buying,Currency_Notes_Selling,Travelers_Cheques/Drafts_Buying_Rate,Travelers_Cheques/Drafts_Selling_Rate,Telegraphic_Transfers_Buying_Rate,Telegraphic_Transfers_Selling_Rate,Import_Bills_Selling,Bank,Date,Time,ST BANK CODE
US Dollar,USD,297.25,306.75,299.0984,306.25,300.25,306.25,306.75,Seylan,2024-07-30,05:14:42,7282
Sterling Pound,GBP,369.9493,398.7966,381.3702,398.7966,382.944,398.7966,399.5942,Seylan,2024-07-30,05:14:42,7282
Euro,EUR,311.7229,336.3464,321.6026,336.3464,322.9297,336.3464,337.0191,Seylan,2024-07-30,05:14:42,7282
Yen,JPY,1.87,2.0191,1.9215,2.0191,1.9294,2.0191,2.0232,Seylan,2024-07-30,05:14:42,7282
Swiss Franc,CHF,324.3275,353.8858,331.601,353.8858,332.9693,353.8858,354.5936,Seylan,2024-07-30,05:14:42,7282
Australian Dollar,AUD,182.1044,203.7523,193.7322,203.7523,194.5316,203.7523,204.1598,Seylan,2024-07-30,05:14:42,7282
Canadian Dollar,CAD,207.6855,224.9068,212.9498,224.9068,213.8285,224.9068,225.3567,Seylan,2024-07-30,05:14:42,7282
Singapore Dollar,SGD,213.6554,232.803,218.2274,232.803,219.1279,232.803,233.2686,Seylan,2024-07-30,05:14:42,7282
Hongkong Dollar,HKD,35.7888,41.2128,36.3557,41.2128,36.5057,41.2128,41.2952,Seylan,2024-07-30,05:14:42,7282
New Zealand Dollar,NZD,163.9666,185.4244,171.9215,185.4244,172.631,185.4244,185.7953,Seylan,2024-07-30,05:14:42,7282
Swedish Kroner,SEK,24.5889,30.5571,25.5178,30.5571,25.6231,30.5571,30.6182,Seylan,2024-07-30,05:14:42,7282
Danish Kroner,DKK,38.7098,48.1054,40.1163,48.1054,40.2818,48.1054,48.2016,Seylan,2024-07-30,05:14:42,7282
Chinese Renminbi,CNY,34.1947,44.1519,39.1965,44.1519,39.3582,44.1519,44.2402,Seylan,2024-07-30,05:14:42,7282
Norwegian Kroner,NOK,24.146,30.0067,25.0802,30.0067,25.1837,30.0067,30.0667,Seylan,2024-07-30,05:14:42,7282
UAE Dirhams,AED,71.6673,87.5593,75.0254,87.5593,76.8725,87.5593,87.7344,Seylan,2024-07-30,05:14:42,7282
Saudi Riyal,SAR,73.23,84.3964,73.7804,84.3964,75.5968,84.3964,84.5652,Seylan,2024-07-30,05:14:42,7282
Indian Rupee,INR,0.0,0.0,0.0,0.0,3.2636,3.9877,4.0276,Seylan,2024-07-30,05:14:42,7282
